,attributes,price,status,adress,lat,lon
0, 200 m² construidos | 3 recs. ,"2,300,000",Casa en venta , Gustavo A. Madero - Distrito Federal ,19.4873329,-99.1236134
1, 320 m² construidos | 3 recs. ,"8,500,000",Casa en venta , Ambato - Lindavista Norte - Gustavo A. Madero - Distrito Federal ,19.5000712,-99.1288767
2, 278 m² construidos | 4 recs. ,"65,500",Casa en venta , CALLE 625 00 - San Antonio - Gustavo A. Madero - Distrito Federal ,19.4538368,-99.0657688
3, 160 m² construidos | 3 recs. ,"1,499,000",Casa en venta , 641 227 - San Juan De Aragón 4a Secc. - Gustavo A. Madero - Distrito Federal ,19.4597475,-99.0651563
4, 210 m² construidos | 4 recs. ,"685,000",Casa en venta , CAIRO 303 - Fernando Casas Alemán - Gustavo A. Madero - Distrito Federal ,19.4520358,-99.0969096
5, 180 m² construidos | 4 recs. ,"4,100,000",Casa en venta , Avenida 414-A 229 - San Juan De Aragón 6a Secc. - Gustavo A. Madero - Distrito Federal ,19.4695706,-99.0669897
6, 250 m² construidos | 3 recs. ,"3,800,000",Casa en venta , Tlacaelel - Santa Isabel Tola - Gustavo A. Madero - Distrito Federal ,19.4925156,-99.1176637
7, 509 m² construidos | 5 recs. ,"11,870,000",Casa en venta , Lindavista Norte 0 - Lindavista Norte - Gustavo A. Madero - Distrito Federal ,19.5037694,-99.1324282
8, 250 m² construidos | 4 recs. ,"11,400,000",Casa en venta , linares 666 - Lindavista Sur - Gustavo A. Madero - Distrito Federal ,19.4882318,-99.1305476
9, 263 m² construidos | 8 recs. ,"3,100,000",Casa en venta , Cerrada Puerto Mazatlán 54 - La Pastora - Gustavo A. Madero - Distrito Federal ,19.5290762,-99.1408798
10, 290 m² construidos | 4 recs. ,"718,794",Casa en venta , faro de Alejandría 00 - Siete Maravillas - Gustavo A. Madero - Distrito Federal ,19.5147406,-99.1446774
11, 400 m² construidos | 5 recs. ,"996,741",Casa en venta , FUNDIDORA DE MONTERREY 00 - Industrial - Gustavo A. Madero - Distrito Federal ,19.4755317,-99.1279754
12, 130 m² construidos | 3 recs. ,"596,000",Casa en venta , CALLE 313 00 - El Coyol - Gustavo A. Madero - Distrito Federal ,19.4881312,-99.0900856
13, 115 m² construidos | 3 recs. ,"595,000",Casa en venta , Norte 3A 0 - Defensores De La República - Gustavo A. Madero - Distrito Federal ,19.4794298,-99.1420087
14, 210 m² construidos | 3 recs. ,"685,000",Casa en venta , Cairo 0 - Fernando Casas Alemán - Gustavo A. Madero - Distrito Federal ,19.4525696,-99.0969458
